""	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"Gm47283"	2.66532338715874e-05	-0.198288468860012	0.129	0.219	0.460168082792956
"Mrfap1"	2.73568585455637e-05	-0.227466348293575	0.633	0.758	0.472316162789157
"Mcmbp"	2.98411945453006e-05	-0.163348242399304	0.121	0.208	0.515208223824615
"Trappc2l"	3.14816125804492e-05	-0.208059728408333	0.352	0.489	0.543530041201455
"Prox1"	3.3497853390138e-05	0.269100147706336	0.749	0.705	0.578340438780733
"D8Ertd738e"	3.59438800699812e-05	-0.163027005954873	0.329	0.493	0.620571089408226
"Unc119"	3.64512621713386e-05	-0.174669416500283	0.917	0.956	0.62933104138816
"Dst"	3.67551923030005e-05	-0.172390006952463	0.361	0.486	0.634578395111303
"Tpt1"	3.69323783436809e-05	-0.164765432567444	0.716	0.848	0.637637512103651
"Enpp5"	3.81822003618442e-05	-0.157202462953655	0.169	0.271	0.659215689247241
"Fat4"	3.86223668429909e-05	-0.187715014517173	0.064	0.126	0.666815163544237
"Ubc"	3.87623600724413e-05	-0.172763256826751	0.598	0.756	0.6692321466507
"Zfhx3"	3.93937953125178e-05	-0.268400286725727	0.47	0.581	0.680133876070619
"Zfp532"	4.27307359718462e-05	-0.1560035882889	0.169	0.274	0.737746156553925
"Rnasek"	4.29028900642696e-05	-0.192239478847772	0.551	0.723	0.740718396959615
"Scgn"	4.33073483148133e-05	-0.308029562525226	0.406	0.511	0.747701368655251
"Cecr2"	4.37295047286927e-05	-0.161854074315061	0.098	0.173	0.754989899140879
"Rpl7a"	4.38198731283541e-05	-0.212054954000999	0.536	0.695	0.756550109561033
"Eif4a2"	4.44628409403561e-05	-0.154283477906992	0.624	0.778	0.767650948835248
"Rictor"	4.44871608892466e-05	-0.172530559216558	0.197	0.308	0.768070832752843
"Acap2"	4.58458050135911e-05	-0.181474639536283	0.217	0.333	0.791527823559651
"ENSMUSG00000095041"	4.60527089049941e-05	-0.210419487077317	0.57	0.721	0.795100019244722
"Igf1r"	4.68162044747926e-05	-0.177024457804627	0.557	0.697	0.808281770257295
"Ip6k1"	4.86614634978089e-05	-0.175279257810131	0.264	0.389	0.840140167289671
"Btrc"	4.88084086890974e-05	-0.15389517795489	0.274	0.412	0.842677176017267
"Cadm3"	4.95198529532364e-05	-0.162487997343546	0.225	0.337	0.854960261237626
"2410018L13Rik"	4.96202964356412e-05	0.472615573346619	0.354	0.288	0.856694417961345
"Hnrnpd"	5.13445303867025e-05	-0.157514481219263	0.223	0.341	0.88646331712642
"Camkv"	5.93172104016016e-05	-0.169520678416005	0.071	0.135	1
"Lnx1"	6.06000887672766e-05	-0.179131354892734	0.213	0.326	1
"Tecr"	6.31458175026271e-05	-0.175937611360746	0.679	0.822	1
"Fat3"	6.60856607299801e-05	-0.376662223936137	0.172	0.256	1
"Prr16"	6.88441696848711e-05	-0.202979611633047	0.198	0.292	1
"Vat1l"	7.41759770696112e-05	-0.170528985718571	0.12	0.199	1
"Mrpl11"	7.80042621167674e-05	-0.153953181698946	0.245	0.374	1
"Smap2"	7.96518847120931e-05	-0.195431674173287	0.219	0.33	1
"Atp6ap1"	8.1219648487742e-05	-0.196412191032591	0.35	0.483	1
"H2az1"	8.12495996687296e-05	-0.187498251191803	0.757	0.858	1
"Ndn"	8.32019238768378e-05	-0.222484221157424	0.454	0.594	1
"Cited2"	8.34469800505821e-05	-0.164917565333761	0.296	0.424	1
"Eno2"	8.67195656475297e-05	-0.153916123875719	0.299	0.431	1
"Tmem108"	8.72239395809697e-05	-0.205493546571714	0.295	0.404	1
"Slc6a11"	8.95721935395761e-05	-0.232113527267546	0.152	0.235	1
"Irx6"	9.16985855800032e-05	-0.203655255280919	0.066	0.126	1
"Yeats4"	9.27606603203104e-05	-0.172511056011081	0.197	0.298	1
"Med31"	9.33707881075979e-05	-0.174422518921512	0.134	0.219	1
"Atxn7l1"	9.37185421742281e-05	-0.151249094091789	0.122	0.204	1
"Phf20"	9.49120105994286e-05	-0.15317144842294	0.246	0.362	1
"Evl"	9.99749428692195e-05	-0.164802392562743	0.447	0.607	1
"Usp29"	0.000104028593203004	-0.204252182507773	0.373	0.487	1
"H3f3a"	0.000104140450588389	-0.15363904625773	0.91	0.947	1
"Cdh18"	0.0001109358111662	-0.218766275688275	0.416	0.532	1
"Pfdn1"	0.000112048091460791	-0.164296091988867	0.432	0.573	1
"Rufy3"	0.00011223143865436	-0.213889475038655	0.493	0.631	1
"Ubr1"	0.000114220699055642	-0.152092766802751	0.187	0.291	1
"Faim2"	0.000119771945697936	-0.189076779847073	0.455	0.601	1
"H2bu2"	0.000121756626813145	0.260939134065983	0.853	0.86	1
"Cnnm1"	0.000129627076932844	-0.155267820180473	0.076	0.138	1
