""	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"Fbxo8"	0.322295786109578	0.273505101353632	0.18	0.146	1
"Cfap298"	0.32235236977351	-0.333100841990099	0.118	0.15	1
"Ythdc1"	0.322483177514369	-0.174001634037435	0.404	0.46	1
"Usp7"	0.322489951689485	0.203838695186301	0.267	0.23	1
"Slc35b1"	0.323111471797931	-0.311544353026302	0.168	0.204	1
"Terf2ip"	0.323212268949079	-0.178189385065619	0.174	0.217	1
"Rnf145"	0.323249251221137	-0.375879919352579	0.18	0.221	1
"Hsdl2"	0.323796501109508	0.188367578188784	0.137	0.106	1
"Phyhipl"	0.324551869569648	-0.212203253477862	0.348	0.385	1
"Tmem259"	0.32462047908506	-0.218092634326289	0.118	0.15	1
"Calm3"	0.324654337742554	-0.171710618060425	0.54	0.588	1
"Cnot11"	0.324658856089524	0.195613143657825	0.106	0.08	1
"Pggt1b"	0.324814202048161	-0.204451161711483	0.106	0.137	1
"Btbd11"	0.325085564669698	0.165711630446158	0.236	0.19	1
"Rapgef1"	0.325404127225343	0.210226124824326	0.267	0.226	1
"Cntn4"	0.325460833476785	0.208789880624348	0.584	0.54	1
"2310061I04Rik"	0.326014850529361	-0.225436987647284	0.099	0.128	1
"Cyb5b"	0.326769914542383	0.153675586312151	0.199	0.159	1
"Inpp5a"	0.327063317253701	-0.237350259367775	0.168	0.208	1
"Lsm5"	0.327321589908042	-0.197727295572476	0.18	0.23	1
"Acbd4"	0.327397269215318	0.152544936697486	0.106	0.08	1
"Vstm2a"	0.327678583465862	0.238109605404755	0.273	0.243	1
"Ranbp10"	0.32783484664282	-0.232955573080903	0.099	0.133	1
"Amd1"	0.328143176921686	0.188270474677845	0.199	0.159	1
"Dido1"	0.328221639185103	-0.23154101726952	0.174	0.212	1
"Xndc1"	0.328232490210503	0.199509220496555	0.168	0.137	1
"Anapc2"	0.328468310059116	-0.339227774210877	0.099	0.128	1
"Nbr1"	0.328686078137691	-0.322924683957203	0.211	0.243	1
"Sh3gl3"	0.329040461540088	0.219212302095312	0.13	0.102	1
"Creb3l2"	0.329231183921032	0.160525584197934	0.106	0.08	1
"Nsfl1c"	0.329264289315864	-0.198235209441826	0.304	0.35	1
"Arhgap44"	0.329628557102998	0.255032444481726	0.429	0.394	1
"Fxr1"	0.331057763114316	0.17713365430356	0.211	0.177	1
"Focad"	0.331291791675312	0.192625515438563	0.248	0.212	1
"Camk1d"	0.331495956985278	0.282076850404541	0.298	0.257	1
"Yme1l1"	0.331706487642305	-0.199140104352656	0.205	0.239	1
"Top2b"	0.332560388019128	0.205146195856972	0.311	0.27	1
"Mrpl57"	0.332887732836385	0.22427567028105	0.255	0.217	1
"Usp29"	0.333840743134666	-0.202648946364521	0.416	0.447	1
"Elob"	0.333976015597107	-0.178037736818602	0.565	0.58	1
"Hk1"	0.334011919162588	-0.150365100617317	0.323	0.363	1
"Rnf8"	0.33444983952185	0.175278128387411	0.242	0.195	1
"Amy1"	0.334707819022208	-0.150881761218541	0.311	0.358	1
"Sox5"	0.334875703440164	0.204970864753464	0.298	0.252	1
"Kcmf1"	0.334993636099307	-0.190666593220458	0.211	0.257	1
"Kmt2c"	0.336184109023715	0.265665951346076	0.404	0.358	1
"Gm12940"	0.336555616418294	-0.289423602724652	0.112	0.142	1
"Bcl2l1"	0.336653915131165	-0.240585021819913	0.174	0.208	1
"Luzp2"	0.336668921241012	0.479619088606445	0.217	0.186	1
"Alg1"	0.336721645104876	-0.194776931247744	0.093	0.124	1
"Zfp593"	0.33689203448234	0.159107733159817	0.155	0.124	1
"Dmxl1"	0.337112029537916	0.18029842863066	0.329	0.288	1
"Fam135a"	0.337282062406843	0.183407233088224	0.205	0.168	1
"Amer2"	0.337333306958272	-0.167928064138371	0.224	0.261	1
"Rtf2"	0.338060198520724	-0.178757290068904	0.137	0.168	1
"Man2c1"	0.338080285514213	-0.181630067864735	0.081	0.111	1
"BC031181"	0.338649468895575	0.205890435620591	0.54	0.487	1
