""	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"Rbks"	0.333805040451405	0.202259592781407	0.127	0.104	1
"Sgce"	0.334869347965124	0.175341008010007	0.315	0.302	1
"Abca2"	0.335035919491054	0.169625666736558	0.169	0.149	1
"Tigd2"	0.335401418859253	0.194548507553899	0.164	0.139	1
"Fis1"	0.335642465764073	0.203217757457171	0.69	0.693	1
"Creb5"	0.335992321073875	0.150295081147124	0.371	0.366	1
"Xpa"	0.336015384767349	0.242677904935295	0.211	0.198	1
"Ap3b1"	0.336045667370583	0.190330306862628	0.315	0.317	1
"Plcd4"	0.337047459685357	0.238968151119822	0.244	0.238	1
"Commd10"	0.338059730767854	0.182375978047055	0.258	0.248	1
"Crppa"	0.338185272313535	0.202630152998527	0.122	0.099	1
"Wnk1"	0.338458132789339	0.172851129603755	0.728	0.733	1
"Ppp1r1a"	0.338606868585999	0.185400119288389	0.493	0.5	1
"Dst"	0.338644387556075	-0.182011716774708	0.469	0.55	1
"Socs7"	0.339247412909595	0.215641157423837	0.235	0.213	1
"Cacng7"	0.339527550552595	0.171624046823891	0.113	0.089	1
"Tmed9"	0.339562448501688	0.178422492235146	0.526	0.559	1
"Anxa5"	0.341449175577789	-0.15091300985634	0.601	0.673	1
"Egln1"	0.341533983565185	0.255890134221788	0.183	0.163	1
"Pafah1b2"	0.341811889925622	-0.194681624783393	0.38	0.455	1
"Pcca"	0.341852242366795	0.171246462978666	0.254	0.233	1
"Chd7"	0.342410424018542	0.172489073136461	0.648	0.688	1
"Enho"	0.342499310502241	0.179954546173809	0.573	0.559	1
"Frmd5"	0.345528401134136	0.203893421921438	0.465	0.47	1
"Tpm3"	0.345697834653054	-0.151709611018227	0.23	0.282	1
"Atp11c"	0.346615678099509	0.257872270065812	0.235	0.218	1
"Kdm4a"	0.350259934717514	-0.165864720878659	0.08	0.109	1
"Faim"	0.351551143986607	0.230727527543581	0.315	0.327	1
"Adamts18"	0.353170879359414	0.284634173680067	0.498	0.525	1
"Dda1"	0.353674024841596	0.190167651609633	0.174	0.158	1
"Pcdh11x"	0.356411985890021	0.167487113854689	0.174	0.149	1
"Prickle2"	0.356648960532368	0.174254149855436	0.164	0.144	1
"Mpp2"	0.356890302851437	0.197988315975476	0.136	0.119	1
"Rgs2"	0.357537578936226	-0.191564131304003	0.498	0.584	1
"Mettl9"	0.358255681115076	0.183914459967046	0.455	0.495	1
"Adgrl3"	0.359079766133603	0.15975173371147	0.808	0.861	1
"Anapc15"	0.360418772329644	0.294642851188428	0.131	0.109	1
"Kras"	0.360459011049612	0.226900435249087	0.296	0.277	1
"Atxn7"	0.360508557834759	0.200625309301122	0.39	0.401	1
"Zfp976"	0.3629649186503	0.177718736345209	0.113	0.089	1
"Cdc123"	0.364060117722248	0.194762643125502	0.315	0.297	1
"Gcsh"	0.364215933143294	0.198840773051543	0.451	0.495	1
"Kcnip4"	0.364350181879734	0.349865042378678	0.488	0.45	1
"Ttc8"	0.366583595679334	-0.209081312258316	0.249	0.297	1
"Taf13"	0.374086736439387	0.204914840677004	0.662	0.723	1
"Glb1l2"	0.374200991721995	0.160021678301161	0.174	0.153	1
"Zcchc4"	0.374549897043158	0.259035096126924	0.108	0.089	1
"Aqp4"	0.375958530738264	0.196432547527179	0.911	0.926	1
"Cables1"	0.379541551097982	0.161568291107154	0.188	0.173	1
