""	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"3110021N24Rik"	0.00843168087958259	0.656578886142959	0.346	0.185	1
"Meig1"	0.00843803968734732	0.446736217082262	0.111	0.012	1
"Prkra"	0.00843803968734732	-0.380825228592544	0.012	0.111	1
"Pramel12"	0.00843803968734732	0.474307857006742	0.111	0.012	1
"Itpr2"	0.00843803968734732	0.447297740861866	0.111	0.012	1
"Xab2"	0.00843803968734732	-0.769858747444975	0.012	0.111	1
"5830448L01Rik"	0.00843803968734732	0.463814303897738	0.111	0.012	1
"Synrg"	0.00846150272238852	0.35392805356816	0.42	0.222	1
"Rps27a"	0.00873485778531926	0.399540717890532	0.765	0.58	1
"Rbm20"	0.00876901802868609	0.538440208982424	0.222	0.074	1
"Zfand6"	0.00896932740895933	0.495445912355963	0.654	0.481	1
"Galnt13"	0.0090451748400311	-0.388226216054395	0.802	0.901	1
"Lyar"	0.00936164431331464	0.517183777714878	0.457	0.284	1
"Rbm4b"	0.00937707357503765	-0.508579998913093	0.185	0.383	1
"Klf12"	0.00943586541283784	-0.785563758180199	0.247	0.444	1
"Shcbp1l"	0.00948710110909537	0.573159891710186	0.173	0.049	1
"Snx4"	0.00949029887981221	-0.458115691215903	0.012	0.111	1
"Dcc"	0.00949029887981221	0.335667996144279	0.111	0.012	1
"Map4"	0.00951320013300658	0.50173626150394	0.58	0.432	1
"Rpl36a"	0.00951503002263824	0.521244876439649	0.568	0.383	1
"Ncoa6"	0.00963604999103928	0.572085248520435	0.21	0.074	1
"Srprb"	0.00975778434609026	-0.698811896216075	0.086	0.235	1
"Steap2"	0.00979159032567919	-0.621216994977585	0.074	0.21	1
"Ube2h"	0.00988129152934182	-0.79189214729674	0.272	0.444	1
"Rps13"	0.0100721361310174	0.534117350762856	0.667	0.531	1
"Mterf2"	0.0101764268079098	0.490906664586071	0.111	0.012	1
"Rps17"	0.0103386711024208	0.446144234887193	0.765	0.58	1
"Atp13a1"	0.0104147595368036	-0.398989332139277	0.012	0.111	1
"Pebp1"	0.0104826141739029	0.505863421778426	0.691	0.506	1
"Cirbp"	0.0105118000050512	0.499403706696665	0.691	0.531	1
"Cnot1"	0.0105733751775107	-0.679264657738424	0.123	0.284	1
"Abi3"	0.0107726957788708	0.495602769888479	0.21	0.074	1
"Pin4"	0.0109789178393664	0.423460990483505	0.296	0.148	1
"Calm2"	0.0110960018622731	0.440141484051288	0.802	0.642	1
"Gm16124"	0.0112116990370464	0.662951917504998	0.284	0.148	1
"Zfp414"	0.0112791525097036	0.578957530897825	0.235	0.099	1
"Dgcr6"	0.0113224093404076	0.486753933370773	0.173	0.049	1
"Abhd16a"	0.0114460510474935	-0.262751061493504	0.074	0.222	1
"Kpna2"	0.0114738195580985	-0.561530084729205	0.123	0.284	1
"Eefsec"	0.0115064816406171	0.587825330502879	0.284	0.136	1
"Pbx3"	0.0115600288790027	-0.326254684033568	0.679	0.852	1
"Pitpnm1"	0.0115901471258075	-0.707305338659747	0.444	0.605	1
"Atg4c"	0.0117233735848091	-0.633911572178028	0.086	0.222	1
"Abcb1b"	0.0117252076381055	0.488389627128388	0.173	0.049	1
"Pcmtd2"	0.0117383573713996	-0.686361437834807	0.247	0.395	1
"Cdk5r2"	0.0117665307749169	-0.474059606920858	0.148	0.321	1
"Cox7a2"	0.0118509440983187	0.446391622510569	0.778	0.568	1
"Gtf2b"	0.0119313337148103	-0.586637911937936	0.049	0.173	1
"Dst"	0.0119666234066386	-0.615504676377558	0.247	0.432	1
"Glyr1"	0.012027012649423	-0.522779026757371	0.074	0.21	1
"mt-Cytb"	0.0121087428524161	-0.390930885827315	1	1	1
"Mbtps2"	0.0121406662283799	-0.531660053046222	0.049	0.173	1
"Nsmce2"	0.0122209117951231	-0.66572697922688	0.148	0.309	1
"Tmsb10"	0.0122768895532277	0.40313276240911	0.901	0.778	1
"Atpaf1"	0.0123117619392203	0.606281918643783	0.185	0.062	1
"Tada2a"	0.0123532470438973	-0.480766997231123	0.049	0.173	1
"Eif3g"	0.0127013405298765	0.679462803550909	0.37	0.222	1
"Casp7"	0.0129290181694915	-0.595315096715761	0.358	0.556	1
"A1bg"	0.0129533851830929	0.466977651613584	0.556	0.37	1
"Arfgef1"	0.0129931341373726	-0.473653628247567	0.457	0.679	1
"Rpl15"	0.013160147437511	0.49211425474353	0.654	0.556	1
